Year;Date;East;West;Total
1991;January 23-24;687;580;1267
1991;February 17-18;828;650;1478
1992;January 17-18;904;940;1844
1995;January 21-22;669;787;1456
1995;February 06-07;917;906;1823
1996;January 09-10;1223;1054;2277
1996;February 18-19;1452;1178;2630
1997;January 19-20;906;1335;2241
1997;13-Feb;797;918;1715
1998;January 29-30;1110;908;2018
1999;6-Jan;842;1023;1865
1999;23-Feb;900;1123;2023
1999;6-Mar;960;1400;2360
2000;January 16-17;634;1012;1646
2000;January 26-27;1138;1085;2223
2001;January 05-06;1559;1741;3300
2002;1-Mar;864;894;1758
2003;9-Jan;1703;1140;2843
2003;January 21-22;1813;1314;3127
2003;January 26-28;1705;1311;3016
2004;20-Feb;1198;1307;2505
2005;26-Jan;1594;1549;3143
2006;February 13-17;1639;1474;3113
2007;January 30-February 1;1414;1403;2817
2009;January 19-23;2148;1654;3802
2010;January 12-15;2780;2297;5077
2011;January 20 and 24;2432;2402;4834
2014;January 24 and 27;2315;2509;4824
2015;February 16-23;3333;2730;6063
2016;February 11-13;3292;2958;6250
2017;January 30-February 2;3488;3132;6620
2018;January 6-8;3731;2400;6131
